ID,Excerpt,Flesch-Kincaid Grade Level,Flesch Reading Ease,Automated Readability Index,SMOG,Dale Chall,Uncorrected LLM Average,Corrected LLM Average
2015,"The physical reasons for elastic behavior can be quite different for different materials. In metals, the atomic lattice changes size and shape when forces are applied (energy is added to the system). When forces are removed, the lattice goes back to the original lower energy state. For rubbers and other polymers, elasticity is caused by the stretching of polymer chains when forces are applied.
Hooke's law states that the force required to deform elastic objects should be directly proportional to the distance of deformation, regardless of how large that distance becomes. This is known as perfect elasticity, in which a given object will return to its original shape no matter how strongly it is deformed. This is an ideal concept only; most materials which possess elasticity in practice remain purely elastic only up to very small deformations, after which plastic (permanent) deformation occurs.",13.17154845,37.01468531,13.84939061,14.34871096,11.27493197,11,8
408,"On the twenty-second of February, 1916, an automobile sped northward along the French battle line that for almost two years had held back the armies of the German emperor, strive as they would to win their way farther into the heart of France. For months the opposing forces had battled to a draw from the North Sea to the boundary of Switzerland, until now, as the day waned—it was almost six o'clock—the hands of time drew closer and closer to the hour that was to mark the opening of the most bitter and destructive battle of the war, up to this time.
It was the eve of the battle of Verdun.
The occupants of the automobile as it sped northward numbered three. In the front seat, alone at the driver's wheel, a young man bent low. He was garbed in the uniform of a British lieutenant of cavalry. Close inspection would have revealed the fact that the young man was a youth of some eighteen years, fair and good to look upon.",10.11495017,66.3077907,11.55780731,11.49170426,8.160126578,11.8,8.8
6332,"It is the eve of Christmas in a large village of Bavaria. Along the snow-whitened streets, amid the confusion of the fog and noise of carriages and bells, the crowd presses joyously about cook-shops, wine-booths, and busy stores. Rustling with a light sweep of sound against the flower-twined and be-ribboned stalls, branches of green holly, or whole saplings, graced with pendants and shading the heads below like boughs of the Thuringian forest, go by in happy arms: a remembrance of nature in the torpid life of winter.
Day dies out. Far away, behind the gardens of the Résidence, lingers a glimmer of the departing sun, red in the fog; and in the town is such gaiety, such hurry of preparation for the holiday, that each jet of light which springs up in the many windows seems to hang from some vast Christmas-tree.
This is, in truth, no ordinary Christmas. It is the year of grace eighteen hundred and seventy, and the holy day is only a pretext the more to drink to the illustrious Von der Than and celebrate the triumph of the Bavarian troops.",11.30092664,61.1127027,13.83217761,11.49170426,9.385627413,15.2,12.2
6632,"At the Thanksgiving sociable some one had observed her turquoise engagement ring,—some one who said that such a hand was worthy of a diamond, that turquoises were a pretty color, but that there was only one stone for an engagement ring, and that was a diamond. At the Christmas dance the same some one had said that her waltzing would make her ""all the rage"" in Boston. She wondered if it were true, and wondered whether, if she had not promised to marry Stephen, some splendid being from a city would have descended from his heights, bearing diamonds in his hand. Not that she would have accepted them; she only wondered. These disloyal thoughts came seldom, and she put them resolutely away, devoting herself with all the greater assiduity to her muslin curtains and ruffled pillow-shams. Stephen, too, had his momentary pangs. There were times when he could calm his doubts only by working on the little house. The mere sight of the beloved floors and walls and ceilings comforted his heart, and brought him good cheer.",9.23875,68.23236229,12.14470339,10.1257567,8.926724859,12.4,9.4
2767,"One million years ago, a soccer gem was formed. When it was discovered, people fought to possess this powerful jewel. During the first soccer world war the gem was lost. No one knew what happened to it. Many years passed. The soccer gem would only be found when the greatest soccer star was born. Not long ago, there was a boy named David. He was from a poor family. Before David's father died, he gave the soccer gem to his son. At first, the boy didn't know the power of the jewel. He was a teenager when he first used the gem to play soccer. David hadn't gone to school. But with the gem's power, he won every single match he played with his friends. He realized that he could make money for his family from playing soccer. He would open a shop for his mother and send his brother and sisters to school. David became the best professional soccer player that anyone had seen. It was even said that he was from another world! The soccer star who will never be forgotten!",4.301775956,82.32894809,3.960382514,7.38712967,7.333280328,5.8,2.8
7106,"Early on the following morning he reached Portsmouth; and, having despatched his business on shore, endeavoured to elude the populace by taking a by-way to the beach; but a crowd collected in his train, pressing forward to obtain a sight of his face;—many were in tears, and many knelt down before him, and blessed him as he passed. England has had many heroes, but never one who so entirely possessed the love of his fellow-countrymen as Nelson. All men knew that his heart was as humane as it was fearless; that there was not in his nature the slightest alloy of selfishness or cupidity; but that, with perfect and entire devotion, he served his country with all his heart, and with all his soul, and with all his strength; and, therefore, they loved him as truly and as fervently as he loved England. They pressed upon the parapet to gaze after him when his barge pushed off, and he was returning their cheers by waving his hat.",16.94399701,47.94377994,21.0207485,13.42789981,10.05664132,12.4,9.4
5407,"Mr. Brisk started for the brook, treading carefully, so as not to make a noise. No sooner was he gone than Uncle Ralph seized me by the collar, and said, ""Now, you young scapegrace, come along with me, and help me save the life of that deer.""
The old gentleman was in earnest. He could not bear to see life destroyed, whether of bird or beast. He lived on vegetables and fruits, and believed that the lower animals have souls. We took a by-path to the brook, and there found the deer quietly grazing.
Just as Mr. Brisk was preparing to fire, Uncle Ralph threw a stone at the deer, and sent him off on a fast gallop through the woods.
""Hallo! What did you do that for?"" asked Mr. Brisk.
""I did it so that you should not have a venison dinner,"" said Uncle Ralph, laughing.
Mr. Brisk was pretty mad at first; but at last he joined in the laugh, and we all had a good feast on strawberries instead of Venison.",5.430815047,84.30023511,6.293573668,8.296473432,7.869472623,8.2,5.2
6543,"Seeing the front door wide open, the enchanter walked in. It was very quiet. Only the far away klingle-klangle of a cow-bell could be heard.
""Here shall I live,"" said the enchanter. And he brought his possessions to the house.
Now, one autumnal morning, when a blue haze hung over the lonely fields from which the reapers had departed, and the golden leaves were wet underfoot, the old enchanter went for a walk down the lane, and finding the day agreeable, kept on until he found himself in the woods. Arriving at the crest of a little hill in the woodland, he saw below him, almost at the foot of the slope, a countryman with a white puppy and a black kitten following at his heels. The little dog barked merrily out of pure high spirits, whilst the kitten leaped and struck with its tiny paws at the passing white butterflies.",7.79111755,72.82257036,9.186903974,10.68635297,7.814355629,10.2,7.2
4931,"About fifty miles from the mouth of the Atbara, and, of course, on the eastern bank of the Nile, stand the pyramids of Meroe. They consist of three groups, and there are, in all, about eighty pyramids. The presumption is that they represent the old sepulchers of the kings of Meroe. Candance, Queen of the Ethiopians, mentioned in Acts, chap. viii., v. 27, is supposed to have belonged to Meroe, that being the name also of the capital, which is understood to have been somewhere not far distant from the sepulchers. These pyramids of Meroe possess one marked feature, distinguishing them from the pyramids of Egypt proper--that is, they have an external doorway or porch. As there is no entrance to the pyramid at these porticoes, it is quite possible that they were temples for worship or making offerings to the dead. By comparing them with the pyramids of Ghizeh, it will be seen that they are also taller in proportion to their base. Another important point in these porches or temples is the existence of the arch; and that, too, an arch in principle, with a keystone.",9.44070922,64.58277778,11.2366253,12.4579756,9.208014421,12.2,9.2
4547,"In his Memoirs, Kropotkin states the singular fact that the natives of the Malayan Archipelago have an idea that something is extracted from them when their likenesses are taken by photography. Here is the motive for a fantastic short story, in which the hero--an author in vogue or a popular actor--might be depicted as having all his good qualities gradually photographed out of him. This could well be the result of too prolonged indulgence in the effort to ""look natural."" First the man loses his charming simplicity; then he begins to pose in intellectual attitudes, with finger on brow; then he becomes morbidly self-conscious, and finally ends in an asylum for incurable egotists. His death might be brought about by a cold caught in going out bareheaded, there being, for the moment, no hat in the market of sufficient circumference to meet his enlarged requirement.",14.51862069,42.62344828,16.78241379,16.40432271,9.866348276,13.2,10.2
